tic_id,period,duration,depth,bls_power,frac_missing,rms,mad,acf_val,acf_lag,cadence
30415110,14.150575287643823,0.1,0.1028542686980987,0.4760550265239314,0.0,0.11087736203090917,0.06761748278844215,0.018813586114767432,56,0.0013888390633383096
30631031,6.9047023511755885,0.1,0.001056319270916,0.0001606766979036,0.0,0.0005808410505085667,0.00024217936736903312,0.19634009313596493,1,0.0013888932544432464
31181554,7.745872936468235,0.1,0.0053336633509751,0.0040822829404103,0.0,0.009463173033871338,0.005838727442682878,0.2210606146374373,2,0.0013888958737879875
31997826,26.133566783391696,0.1,0.0028946820713054,0.0005488365712528,0.0,0.0017550985591316456,0.000939499753149553,0.30486003816717683,2,0.0013889067004129174
38634572,1.090295147573787,0.1,0.003917253297133,0.0143628014966899,0.0,0.007081989737352703,0.004553657846689596,0.7361781599924477,1,0.0013889104257032159
41261064,15.301650825412707,0.1,0.0035301543880242,0.0006916404451824,0.0,0.0028407965316510474,0.0018351045809152922,0.48403298173522574,2,0.001388884115840483
50316633,24.30365182591296,0.1,0.0016750620568659,0.0002020199683933,0.0,0.001983187609828513,0.0010428508371597145,0.05905087184081998,1,0.0013888963394492748
55270064,14.549024512256128,0.1,0.0024314516226868,0.0004256609035295,0.0,0.006220999150836436,0.002586848766541028,0.06151220180016113,1,0.0013889051906517125
55849446,16.70360180090045,0.1,0.0026955037836737,0.0005231333266415,0.0,0.001649969448199508,0.0010012325936494815,0.4792268491244877,1,0.0013889095781678407
61269826,3.87943971985993,0.1,0.0034783933875352,0.0030490035807291,0.0,0.005360402187604941,0.00286748516603641,0.3984394807015827,1,0.0013888413914173725
80089548,10.121810905452726,0.1,0.006413023717562,0.0029611348705449,0.0,0.0034789715735936686,0.0020380122430789793,0.6974236914253163,1,0.0013888609491914394
90904124,16.334667333666836,0.1,0.0024691135418622,0.0002194747805738,0.0,0.0014229940766125597,0.0006293137895827527,0.04007522282935338,1,0.0013888753843502855
91330736,9.9152076038019,0.1,0.0055550825460059,0.0029315994988293,0.0,0.004594519342228251,0.0029520216977582114,0.8338954989911231,1,0.0013888823696106556
97176846,2.6545772886443224,0.1,0.0017979185532602,0.0010667286709719,0.0,0.010446259342020781,0.005106652084594154,0.0657714915697147,1,0.0013888614148527267
98558009,10.35792896448224,0.1,0.0032691898704695,0.0010901354457364,0.0,0.004739953916378461,0.0017990415515587443,0.12989257944000873,1,0.0013888488419979694
100229772,9.472486243121562,0.1,0.002929107117094,0.0009266041983683,0.0,0.0023795044782383254,0.0014480452696816748,0.6860226116313197,1,0.0013888702624171856
100363222,17.39719859929965,0.1,0.0040818181411956,0.0011996092323211,0.0,0.006624914133172233,0.004344449270630157,0.18613916349741774,2,0.0013888742206518145
113343412,19.684592296148075,0.1,0.0019639523624121,0.0002777118394913,0.0,0.003089286828320659,0.0014580671194459605,0.0678088528120665,1,0.001388855361028618
119505749,10.475987993996998,0.1,0.0032431614338457,0.0011149181851143,0.0,0.0034772958658874403,0.002200233252828143,0.2649349576242424,2,0.001388831612530339
128917881,0.8099049524762381,0.1,0.0013806393953958,0.0023998619114097,0.0,0.0017104827310210947,0.0008598443722045435,0.4275490074109585,1,0.0013888651401430252
129580118,20.28964482241121,0.1,0.0204356866518887,0.0150342224016306,0.0,0.004814251719569118,0.0028925388977948385,0.1900178752776433,8,0.0013888749190300587
140580336,18.20885442721361,0.1,0.0010456003359343,7.871616450043672e-05,0.0,0.0018509286970481167,0.0010195759804831894,0.10953883797428421,1,0.0013888895873606089
141024724,1.0165082541270636,0.1,0.0003075683289357,8.996296139305677e-05,0.0,0.0027359430997262414,0.0015971843469612113,0.030513202756706978,1,0.0013888887144730688
142106624,2.934967483741871,0.1,0.0024744929592048,0.0022043215458555,0.0,0.005854595670926808,0.0036826541751020514,0.3365599200263776,2,0.0013888754426716332
149125418,5.738869434717359,0.1,0.001444530282422,0.0003484735120513,0.0,0.005545205039645524,0.00203243714500978,0.04603844396898205,1,0.0013888996496689288
149176684,6.402951475737869,0.1,0.0450672560866065,0.2924722902493117,0.0,0.009483167525811574,0.0047295764136112695,0.910275078907593,1,0.0013889033826899322
149477100,12.350175087543771,0.1,0.0014534058156648,0.0001520919694806,0.0,0.0019290582034144049,0.0006972331735712878,0.11358053968293653,1,0.0013888948147950941
150356906,11.33191595797899,0.1,0.0023707422972694,0.0004046701708844,0.0,0.006152303142059892,0.0029338202944290126,0.07831449459782108,1,0.0013888866187699023
150438041,14.165332666333168,0.1,0.0063833283236129,0.0020169705841084,0.0,0.008001596985992562,0.004380246135384236,0.09384194772359568,1,0.0013888846981444658
167754523,0.9574787393696848,0.1,0.0026603071633188,0.0075903336829381,0.0,0.002380904029846743,0.0008349918003913714,0.6744990815361254,1,0.0013888811472497764
177282821,15.56728364182091,0.1,0.0053737931844066,0.0020791910295918,0.0,0.010120237955337452,0.0051603877770156625,0.14425871230014312,1,0.0013888744971382039
177307545,14.32766383191596,0.1,0.0087732760536418,0.0055418668353651,0.0,0.01754419066866771,0.008806207845783565,0.15478040373976318,1,0.001388874540452889
220408525,1.400200100050025,0.1,0.0010052170561606,0.0006906503190525,0.0,0.00796120343560469,0.0041113417936667895,0.038124808514392206,1,0.0013889175415897625
220411843,1.4887443721860931,0.1,0.0009219330333599,0.0005741483299092,0.0,0.002329525358403167,0.0013005463915231052,0.40069582600200193,1,0.0013889168430978316
220431435,24.37743871935968,0.1,0.0013532452046487,0.0001318516260411,0.0,0.0014178704059927315,0.0005459325281340632,0.04758798089183502,1,0.0013889168285459164
220476607,0.9132066033016508,0.1,0.024003478900218,0.6193795242617065,0.0,0.012227238859581739,0.003697552023468109,0.9780283800552018,2,0.001388916799442086
231725008,21.44072036018009,0.1,0.000537917001662,2.083353844875352e-05,0.0,0.0009672923453927889,0.0002607296198871012,0.03215158609328068,1,0.0013889145002394798
231819995,7.244122061030516,0.1,0.0052760535403473,0.003006368023746,0.0,0.01458032753149131,0.0077069225313378675,0.16391351192035705,1,0.0013889091451346758
238192896,1.6658329164582293,0.1,0.0004298829998484,0.0001130048291611,0.0,0.001930228829532936,0.0009580438064722419,0.17349540260962243,1,0.0013888957573726657
257719469,23.3591795897949,0.1,0.0022027301578858,0.0001746727253445,0.0,0.001191447488594201,0.0004825760359891129,0.07680439003252572,1,0.001388913045047957
260267665,1.444472236118059,0.1,0.0008792424242571,0.0005005610382972,0.0,0.0020152239938477194,0.001128209839733052,0.29716883586854365,1,0.0013888956409573439
260950734,14.534267133566784,0.1,0.0260534860191181,0.0397088718242806,0.0,0.04780363537821456,0.03055266629013431,0.014037232056830141,3,0.0013888757339373115
261337380,23.787143571785894,0.1,0.0008432615801206,2.5599243330275342e-05,0.0,0.0005415187713523107,0.0002978746457354964,0.06421479808581027,1,0.001388866653542209
261745953,10.35792896448224,0.1,0.0040231926010819,0.0017480965001832,0.0,0.003478419293562574,0.002362370881030529,0.8994096452258482,1,0.001388873987707484
267044642,16.12806403201601,0.1,0.0008210455938157,4.8536342432941145e-05,0.0,0.0015680356159046178,0.000788192749721528,0.08000546354959309,1,0.0013888933126509073
269850183,17.825162581290645,0.1,0.0026546362680982,0.0002536953737724,0.0,0.0029379153126909818,0.0014511876298657356,0.12068123718744118,1,0.0013888803905501845
271597440,10.018509254627316,0.1,0.0013125752822543,0.0001714239602227,0.0,0.002566427617765686,0.001347806015733033,0.09443584282619431,1,0.001388867293826479
276672967,5.576538269134567,0.1,0.0015560449872644,0.0004370403184315,0.0,0.0026630405390295963,0.001588452994241707,0.3227802619399323,1,0.0013888481432786648
277911545,13.840670335167584,0.1,0.0010788827614276,8.380713692920877e-05,0.0,0.00035957794512338177,9.144345924538833e-05,0.09031947602694322,3,0.0013888826024412992
278658315,27.83066533266633,0.1,0.0015447468515802,8.590474207681819e-05,0.0,0.0019250170764905576,0.0008979750909445805,0.047117909815938164,1,0.0013888817876477333
279159155,15.301650825412707,0.1,0.0018199013787397,0.0002384669540403,0.0,0.004420875241710297,0.0021380628626350706,0.09058818854235906,1,0.0013888831263102475
290350054,23.55102551275638,0.1,0.0022039470393291,0.000174865771878,0.0,0.0020105803254062992,0.001059064654623798,0.10868325977413182,1,0.001388875384691346
290542693,4.174587293646823,0.1,0.000900439562551,0.0002043194342634,0.0,0.0008487537470606597,0.00021098033569821872,0.0896417580582231,1,0.0013888814385154546
