threshold,precision,recall
0.42711467,0.375,1.0
0.43973544,0.3697478991596639,0.9777777777777777
0.4432845,0.3728813559322034,0.9777777777777777
0.44853228,0.37606837606837606,0.9777777777777777
0.45190617,0.3793103448275862,0.9777777777777777
0.4535737,0.3739130434782609,0.9555555555555556
0.45664665,0.37719298245614036,0.9555555555555556
0.457488,0.37168141592920356,0.9333333333333333
0.45785472,0.375,0.9333333333333333
0.4591778,0.3783783783783784,0.9333333333333333
0.45919475,0.38181818181818183,0.9333333333333333
0.4597027,0.3853211009174312,0.9333333333333333
0.4603509,0.3888888888888889,0.9333333333333333
0.46039486,0.38317757009345793,0.9111111111111111
0.46048656,0.3867924528301887,0.9111111111111111
0.46076012,0.38095238095238093,0.8888888888888888
0.46090332,0.375,0.8666666666666667
0.46099055,0.3786407766990291,0.8666666666666667
0.46126622,0.38235294117647056,0.8666666666666667
0.4615652,0.38613861386138615,0.8666666666666667
0.46230927,0.38,0.8444444444444444
0.4626099,0.3838383838383838,0.8444444444444444
0.46266752,0.3877551020408163,0.8444444444444444
0.46293488,0.38144329896907214,0.8222222222222222
0.46331868,0.3854166666666667,0.8222222222222222
0.46362895,0.3894736842105263,0.8222222222222222
0.46364918,0.3829787234042553,0.8
0.463707,0.3870967741935484,0.8
0.46385953,0.391304347826087,0.8
0.46392068,0.38461538461538464,0.7777777777777778
0.4640763,0.3888888888888889,0.7777777777777778
0.46439025,0.39325842696629215,0.7777777777777778
0.46475363,0.3977272727272727,0.7777777777777778
0.46477675,0.40229885057471265,0.7777777777777778
0.46503443,0.4069767441860465,0.7777777777777778
0.46513158,0.4,0.7555555555555555
0.4654658,0.39285714285714285,0.7333333333333333
0.46558806,0.39759036144578314,0.7333333333333333
0.46567726,0.4024390243902439,0.7333333333333333
0.4657238,0.4074074074074074,0.7333333333333333
0.46583757,0.4,0.7111111111111111
0.4659765,0.4050632911392405,0.7111111111111111
0.46598154,0.41025641025641024,0.7111111111111111
0.4661098,0.4025974025974026,0.6888888888888889
0.46612933,0.40789473684210525,0.6888888888888889
0.4661581,0.41333333333333333,0.6888888888888889
0.46621466,0.4189189189189189,0.6888888888888889
0.46624142,0.410958904109589,0.6666666666666666
0.4662554,0.4027777777777778,0.6444444444444445
0.4662637,0.39436619718309857,0.6222222222222222
0.4664539,0.38571428571428573,0.6
0.46650484,0.37681159420289856,0.5777777777777777
0.46665755,0.38235294117647056,0.5777777777777777
0.46681252,0.373134328358209,0.5555555555555556
0.46700495,0.36363636363636365,0.5333333333333333
0.46701837,0.36923076923076925,0.5333333333333333
0.46717286,0.359375,0.5111111111111111
0.4671744,0.36507936507936506,0.5111111111111111
0.46722803,0.3548387096774194,0.4888888888888889
0.46762812,0.3442622950819672,0.4666666666666667
0.46773514,0.35,0.4666666666666667
0.46791157,0.3389830508474576,0.4444444444444444
0.46793652,0.3275862068965517,0.4222222222222222
0.4680962,0.3333333333333333,0.4222222222222222
0.46853304,0.32142857142857145,0.4
0.46890634,0.32727272727272727,0.4
0.46900347,0.3333333333333333,0.4
0.4690115,0.32075471698113206,0.37777777777777777
0.46902114,0.3076923076923077,0.35555555555555557
0.4693394,0.29411764705882354,0.3333333333333333
0.46936417,0.28,0.3111111111111111
0.46957368,0.2653061224489796,0.28888888888888886
0.46970183,0.25,0.26666666666666666
0.46980065,0.2553191489361702,0.26666666666666666
0.46992218,0.2608695652173913,0.26666666666666666
0.4700006,0.26666666666666666,0.26666666666666666
0.47010753,0.2727272727272727,0.26666666666666666
0.47028005,0.27906976744186046,0.26666666666666666
0.47029886,0.2619047619047619,0.24444444444444444
0.47031263,0.24390243902439024,0.2222222222222222
0.47031605,0.25,0.2222222222222222
0.47031975,0.2564102564102564,0.2222222222222222
0.47046483,0.2631578947368421,0.2222222222222222
0.47051054,0.2702702702702703,0.2222222222222222
0.4708955,0.2777777777777778,0.2222222222222222
0.47107136,0.2857142857142857,0.2222222222222222
0.47117016,0.29411764705882354,0.2222222222222222
0.47151774,0.30303030303030304,0.2222222222222222
0.47165114,0.3125,0.2222222222222222
0.47190702,0.2903225806451613,0.2
0.4720158,0.26666666666666666,0.17777777777777778
0.47295064,0.27586206896551724,0.17777777777777778
0.47296664,0.2857142857142857,0.17777777777777778
0.47333023,0.25925925925925924,0.15555555555555556
0.4733353,0.23076923076923078,0.13333333333333333
0.4739047,0.24,0.13333333333333333
0.47392783,0.20833333333333334,0.1111111111111111
0.47404116,0.21739130434782608,0.1111111111111111
0.47404996,0.22727272727272727,0.1111111111111111
0.47405285,0.23809523809523808,0.1111111111111111
0.47427332,0.25,0.1111111111111111
0.4749136,0.2631578947368421,0.1111111111111111
0.47578126,0.2222222222222222,0.08888888888888889
0.47684345,0.23529411764705882,0.08888888888888889
0.47701135,0.25,0.08888888888888889
0.47732538,0.2,0.06666666666666667
0.4775523,0.14285714285714285,0.044444444444444446
0.4775632,0.07692307692307693,0.022222222222222223
0.4782928,0.08333333333333333,0.022222222222222223
0.47831488,0.09090909090909091,0.022222222222222223
0.4786339,0.1,0.022222222222222223
0.47881392,0.1111111111111111,0.022222222222222223
0.47892982,0.125,0.022222222222222223
0.47914106,0.14285714285714285,0.022222222222222223
0.47931585,0.0,0.0
0.4797512,0.0,0.0
0.47983414,0.0,0.0
0.48099276,0.0,0.0
0.48103413,0.0,0.0
0.48233205,0.0,0.0
1.0,1.0,0.0
