tic_id,n_windows,score_max,score_mean,n_high,frac_high,period,duration,depth,bls_power,pass_base,pass_consistency,pred_post
100229772,6,0.79052734,0.73128256,4,0.6666666666666666,14.165058831518634,0.02,49076.66858342973,49075.44660047114,True,True,True
100265076,6,0.74609375,0.636881515,1,0.16666666666666666,14.163626035903803,0.02,11003.241205179844,11002.967230323156,False,False,False
114048386,6,0.73535156,0.6402181016666667,1,0.16666666666666666,14.16491882185674,0.02,62645.18353670831,62643.623704940415,False,False,False
114391324,6,0.7729492,0.6162923066666667,1,0.16666666666666666,14.164737674329803,0.02,32074.412213923835,32073.61357811046,False,False,False
128917881,6,0.79248047,0.69222006,3,0.5,14.169604052306209,0.02,29228.660958236746,29227.93318011684,False,True,False
141024724,6,0.7714844,0.6534016916666666,2,0.3333333333333333,14.167616000721672,0.02,10047.984808980718,10047.73461950048,False,True,False
1479793,6,0.7993164,0.7045898333333334,3,0.5,14.168830601194005,0.02,5934.945540579148,5934.797763590203,True,True,True
149125418,6,0.67578125,0.6225585933333333,0,0.0,14.167630472733656,0.02,3587.996928213606,3587.907588997472,False,False,False
149126810,6,0.72998047,0.5654500333333333,0,0.0,3.4569832659548374,0.1,2658.2233600272407,62875.72722246062,False,False,False
149176684,6,0.75439453,0.6565755183333334,1,0.16666666666666666,14.1639592008929,0.02,6396.481015883538,6396.32174690661,False,False,False
150438041,6,0.7866211,0.6609700583333333,1,0.16666666666666666,14.171700313815675,0.02,1584.5849299562014,1584.5454746338105,False,False,False
166315714,6,0.7910156,0.6577962233333333,1,0.16666666666666666,14.162889600948308,0.02,5106.743955602421,5106.616800392671,False,False,False
166550568,6,0.7871094,0.5654907271666666,2,0.3333333333333333,7.80545412128486,0.1,11401.83441203335,192102.9869504192,False,True,False
167527244,6,0.8051758,0.708089185,3,0.5,14.165199857266904,0.02,8314.596338530508,8314.389309501716,True,True,True
167691903,6,0.6982422,0.6376139333333334,0,0.0,14.164159207129066,0.02,11903.659581106682,11903.363186311097,False,False,False
167754523,6,0.8071289,0.6352132183333333,2,0.3333333333333333,14.163804478294391,0.02,26713.74524070824,26713.08008265277,False,True,False
177282821,6,0.80029297,0.6930338533333332,3,0.5,14.166254725266612,0.02,890.9084732347272,890.8862900873504,False,True,False
181576949,6,0.7973633,0.6957194050000001,3,0.5,14.164318646397666,0.02,48042.0960420609,48040.89981940862,False,True,False
183306127,6,0.7260742,0.6453450433333333,0,0.0,14.227527127191262,0.02,67962.83803648117,67961.1457979431,False,False,False
1851563,6,0.78466797,0.7195638016666667,4,0.6666666666666666,14.167459234464667,0.02,37609.05427291637,37608.11782745794,True,True,True
2018191215100,6,0.7988281,0.6560058516666667,1,0.16666666666666666,8.168385442767573,0.1,0.0020592921802491,0.0346958110298632,False,False,False
211254719,6,0.7861328,0.6945800866666666,3,0.5,14.171649596591376,0.02,65519.76502011424,65518.13361279553,False,True,False
220370211,6,0.65185547,0.6201985666666666,0,0.0,6.915000908608888,0.1,10.874615005417963,183.84596004261624,False,False,False
220408525,6,0.69873047,0.62841797,0,0.0,14.170671148121516,0.02,2682.944128555129,2682.8773246725805,False,False,False
220431435,6,0.7602539,0.646647125,1,0.16666666666666666,14.166226519755783,0.02,31815.901035004743,31815.108835982297,False,False,False
220476607,6,0.60498047,0.5974121083333334,0,0.0,0.9145967588576802,0.1,9681.447018699037,424545.5213940615,False,False,False
230953115,6,0.796875,0.6713867216666666,2,0.3333333333333333,16.29987281712554,0.1,11484.804201484614,137322.61909360546,False,True,False
230954760,6,0.7792969,0.7300618499999999,4,0.6666666666666666,0.8113143640907616,0.1,1458.3874240643304,67888.51254539285,True,True,True
231725008,6,0.7675781,0.6501464883333333,1,0.16666666666666666,14.172319236561282,0.02,117518.00276464662,117515.07662885032,False,False,False
238192896,6,0.7416992,0.63549804,1,0.16666666666666666,14.165401598765682,0.02,11704.719752224468,11704.428310924864,False,False,False
238817606,6,0.63378906,0.611572265,0,0.0,14.170147297075973,0.02,253.9490042776943,253.94268108248704,False,False,False
25116423,6,0.67626953,0.6341145883333333,0,0.0,6.2716118626395,0.1,188.30340436397128,3540.635509302144,False,False,False
257719469,6,0.76171875,0.66805013,2,0.3333333333333333,14.164596911327113,0.02,35560.34052888505,35559.45509530975,False,True,False
260244471,6,0.79248047,0.6371256550000001,1,0.16666666666666666,14.714474296054558,0.1,27.555031373557654,329.4726676258239,False,False,False
260267665,6,0.7871094,0.6971028716666666,3,0.5,14.164683931303816,0.02,11166.018226436148,11165.74019851816,False,True,False
260268711,6,0.8046875,0.7430826866666665,4,0.6666666666666666,0.9809586521668908,0.1,3677.246430349927,157117.16414489492,True,True,True
261337380,6,0.7871094,0.6709798216666667,2,0.3333333333333333,14.167167240698644,0.02,72367.56767217146,72365.765758207,False,True,False
265336423,6,0.7294922,0.6239420566666667,0,0.0,14.16530940299795,0.02,25353.86447623027,25353.23317848292,False,False,False
266903576,6,0.60791016,0.5974934866666667,0,0.0,14.163378576738916,0.02,6945.245522537906,6945.072589616486,False,False,False
267044642,6,0.7338867,0.6305338533333333,1,0.16666666666666666,14.16571166083281,0.02,12945.057145740177,12944.734820698835,False,False,False
270554477,6,0.6376953,0.6100260333333333,0,0.0,14.16959085606643,0.02,503.3500326106365,503.3374994624052,False,False,False
272285817,6,0.8051758,0.5966389966666666,1,0.16666666666666666,4.144664090818259,0.1,860.3024571548494,19069.83054343521,False,False,False
277911545,6,0.7915039,0.7179361933333334,4,0.6666666666666666,14.165309955345649,0.02,1128900.1776261078,1128872.068611808,True,True,True
