kepler_id,source,window_idx,label,mean,std,var,skew,range,median,mad,peak_to_peak
kplr001026957,kepler,0,1,-0.48852758495231313,1.1723496109963534,1.3744036104033013,1.423662117588766,4.416376876477871,0.01159053450898812,0.41773614896081074,4.416376876477871
kplr001026957,kepler,1,1,-0.1561441263274597,1.580561960779829,2.4981761118641774,2.464585368777188,5.608864889084593,-0.272488271430812,1.151329266624384,5.608864889084593
kplr001026957,kepler,2,1,0.06851016992778608,1.0148769014061467,1.0299751250077418,1.880691966934972,3.5329413968114065,0.09992897276168461,0.8928543857406129,3.5329413968114065
kplr002692377,kepler,0,1,-0.005093805215226541,0.38196964275127,0.14590080798353283,0.5309864514542966,3.165734061276389,0.012218221577324561,0.2625399420565496,3.165734061276389
kplr002692377,kepler,1,1,0.08491094827488069,0.8032514269612092,0.6452128549152188,0.9398302062166944,4.07692671756911,0.08802692052367989,0.47136267719098845,4.07692671756911
kplr002692377,kepler,2,1,-0.037995481795474295,0.7568219267189955,0.5727794287626525,0.8092632895284362,7.644539362902057,0.06649352935057405,0.40055176180801716,7.644539362902057
kplr003561464,kepler,0,1,0.011127415712575757,0.433018186892978,0.187504750180082,0.5323219705624674,4.042089094026055,0.009794640543161098,0.26399486285311635,4.042089094026055
kplr003561464,kepler,1,1,-0.04081676583750574,0.5275047220064543,0.27826123173910655,0.6906058731912836,4.978439987006782,-0.04625246923306675,0.3456168673822916,4.978439987006782
kplr003561464,kepler,2,1,0.018127538516308182,0.7774256757060731,0.6043906812470444,0.8573212890016024,12.339975689846558,0.016994119917307787,0.4316298413895529,12.339975689846558
kplr003762468,kepler,0,1,-0.029477077279249503,1.098913064729661,1.207609923833536,1.38136125389065,5.934739795358665,-0.006722876244079361,0.679017402988983,5.934739795358665
kplr003762468,kepler,1,1,0.07999914417080772,1.0255238361667627,1.051699138546193,1.4829671057910108,5.453508859283524,0.04184196693183685,0.7732826194832381,5.453508859283524
kplr003762468,kepler,2,1,-0.03765670984877121,0.8382742868178847,0.7027037799400333,1.1297052510609236,5.866931236609373,-0.04557641252320944,0.5648388923103107,5.866931236609373
kplr004141376,kepler,0,1,-0.02390486707442252,0.515639051748829,0.26588363168843154,0.5164998532252902,6.373314101413983,0.006819417674273218,0.25885372921875827,6.373314101413983
kplr004141376,kepler,1,1,-0.010754956446838063,0.9496606356762602,0.9018553229530386,0.6437246142110824,7.614163975728613,-0.0062511328686130395,0.3212229866985781,7.614163975728613
kplr004141376,kepler,2,1,-0.02806627685879995,0.31243083239109315,0.09761302502859136,0.3709479072404182,3.2213224238848115,-0.021310680232103807,0.18611327402703992,3.2213224238848115
kplr004633570,kepler,0,1,0.04229371417473768,1.1568027542346788,1.3381926122049386,1.7104585747335497,7.02526632355549,0.0544576066259683,0.8590981281253474,7.02526632355549
kplr004633570,kepler,1,1,0.042453372723845424,0.6178927875065242,0.38179149685258273,0.8631922431558243,4.936523273442631,0.011596727741932817,0.43048933928499256,4.936523273442631
