time,flux
1310.551055593783,0.0
1310.5524444494645,619.5809
1310.5538333051459,635.4227
1310.5552221608564,636.0897
1310.5566110165669,633.6778
1310.5579998723065,624.853
1310.5593887280172,635.7675
1310.5607775837568,619.3555
1310.5621664395255,623.92487
1310.5635552952651,631.3212
1310.5649441510338,621.0946
1310.5663330068026,639.19226
1310.5677218625713,630.4214
1310.569110718369,626.2502
1310.570499574167,623.6841
1310.5718884299647,640.06604
1310.5732772857625,631.0805
1310.5746661415897,622.6334
1310.5760549974166,627.22705
1310.5774438532435,622.5613
1310.5788327090995,625.19965
1310.5802215649555,624.362
1310.5816104208116,627.53986
1310.5829992766676,632.8457
1310.5843881325527,630.10516
1310.5857769884378,635.6843
1310.587165844323,626.385
1310.5885547002372,628.5185
1310.5899435561514,618.9235
1310.5913324120659,617.07434
1310.59272126798,630.0495
1310.5941101239234,655.0717
1310.5954989798668,616.3947
1310.59688783581,619.67334
1310.5982766917825,614.16675
1310.599665547755,620.9113
1310.6010544037274,627.9953
1310.6024432596998,633.5422
1310.6038321157014,635.7526
1310.605220971703,622.5435
1310.6066098277047,611.01166
1310.6079986837353,626.26904
1310.609387539766,628.565
1310.6107763957966,636.346
1310.6121652518273,624.3439
1310.613554107887,624.73303
1310.6149429639468,620.2223
1310.6163318200356,638.9721
1310.6177206760954,625.83136
1310.6191095321842,614.7079
1310.6204983883022,614.0169
1310.6218872443912,626.7339
1310.6232761005092,622.00244
1310.6246649566272,630.60736
1310.6260538127742,626.9497
1310.6274426688922,620.6333
1310.6288315250392,620.8579
1310.6302203812154,606.0915
1310.6316092373625,625.95844
1310.6329980935386,624.4993
1310.6343869497439,623.2155
1310.63577580592,615.2983
1310.6371646621255,627.01196
1310.6385535183308,631.77625
1310.6399423745652,626.7486
1310.6413312307996,628.68243
1310.642720087034,638.68005
1310.6441089432683,619.71155
1310.6454977995318,626.27496
1310.6468866557952,627.2937
1310.6482755120587,628.6089
1310.6496643683513,635.11975
1310.6510532246439,629.4541
1310.6524420809365,615.6088
1310.6538309372293,621.109
1310.655219793551,621.3344
1310.6566086498726,615.66315
1310.6579975062234,640.63416
1310.6593863625742,618.175
1310.660775218925,627.1771
1310.6621640752758,621.385
1310.6635529316557,619.58936
1310.6649417880355,638.02075
1310.6663306444154,623.0113
1310.6677195008244,622.6876
1310.6691083572045,618.16144
1310.6704972136426,615.8134
1310.6718860700516,629.1172
1310.6732749264897,626.99493
1310.6746637829278,625.7666
1310.676052639395,618.8304
1310.6774414958622,602.3129
1310.6788303523294,614.5577
1310.6802192087966,623.6799
1310.681608065293,623.7711
1310.6829969217893,618.4325
1310.6843857782858,622.17755
1310.6857746348112,621.04224
1310.6871634913366,616.77344
1310.688552347862,625.0466
1310.6899412044165,627.0188
1310.691330060971,640.3367
1310.6927189175256,616.9353
1310.69410777408,617.92096
1310.6954966306637,635.09766
1310.6968854872473,632.61066
1310.69827434386,617.82874
1310.699663200473,618.74225
1310.7010520570857,617.86755
1310.7024409136984,609.7098
1310.7038297703402,618.3869
1310.705218626982,620.19464
1310.706607483653,625.17456
1310.7079963402948,624.913
1310.7093851969657,625.0096
1310.7107740536658,615.08826
1310.7121629103367,620.0376
1310.7135517670367,621.91565
1310.7149406237659,628.9888
1310.7163294804661,626.7963
1310.7177183371953,621.5102
1310.7191071939535,619.9414
1310.7204960506826,614.4624
1310.7218849074409,613.05054
1310.7232737641991,622.9175
1310.7246626209865,628.5526
1310.7260514777738,621.3468
1310.7274403345612,630.7874
1310.7288291913485,628.9458
1310.730218048165,624.4066
1310.7316069049816,626.1095
1310.7329957618272,625.12256
1310.7343846186436,624.89307
1310.7357734755183,638.47406
1310.7371623323638,628.83295
1310.7385511892385,622.4356
1310.7399400461131,629.75604
1310.7413289029878,621.1843
1310.7427177598915,618.85223
1310.7441066167953,629.40985
1310.745495473699,631.2544
1310.7468843306322,631.52264
1310.748273187565,628.773
1310.7496620444979,621.9742
1310.7510509014598,618.2357
1310.7524397584218,628.78235
1310.7538286153838,624.2131
1310.7552174723749,624.81335
1310.7566063293368,616.7178
1310.757995186357,636.91693
1310.759384043348,627.64087
1310.7607729003682,620.0934
1310.7621617573886,615.351
1310.763550614438,633.3345
1310.7649394714872,616.3534
1310.7663283285365,613.73987
1310.7677171855858,621.96954
