time,flux
1310.55581429996,0.0
1310.55720317907,10155.648
1310.55859205818,10163.6
1310.55998093729,10191.867
1310.5613698164,10156.866
1310.5627586959756,10202.967
1310.5641475750858,10242.226
1310.5655364541958,10195.867
1310.5669253333058,10186.503
1310.5683142124158,10202.414
1310.5697030915258,10172.579
1310.5710919706357,10181.519
1310.5724808497457,10162.26
1310.5738697288557,10173.873
1310.5752586079657,10192.935
1310.5766474870757,10167.15
1310.5780363661856,10163.707
1310.5794252452959,10157.374
1310.5808141244058,10143.595
1310.5822030030502,10180.368
1310.5835918821601,10161.05
1310.5849807612701,10219.8955
1310.58636964038,10175.465
1310.5877585190244,10157.533
1310.5891473981344,10180.96
1310.5905362772444,10189.152
1310.5919251558887,10214.711
1310.5933140349987,10179.227
1310.5947029141087,10179.19
1310.5960917927532,10167.353
1310.5974806718632,10164.321
1310.5988695505075,10168.627
1310.6002584296175,10174.616
1310.6016473082618,10171.154
1310.6030361873718,10162.475
1310.6044250660161,10185.042
1310.605813945126,10177.556
1310.6072028237704,10177.114
1310.6085917024147,10178.216
1310.6099805815247,10167.966
1310.6113694601693,10166.073
1310.6127583388136,10142.959
1310.6141472179236,10157.048
1310.615536096568,10167.827
1310.6169249752122,10216.43
1310.6183138538565,10289.499
1310.6197027329665,10159.833
1310.6210916116108,10176.294
1310.6224804902552,10169.14
1310.6238693688995,10174.408
1310.6252582475438,10175.372
1310.6266471261883,10154.879
1310.6280360048327,10177.132
1310.629424883477,10191.091
1310.6308137621213,10167.364
1310.6322026407656,10165.226
1310.63359151941,10189.223
1310.6349803980543,10169.673
1310.6363692766986,10178.157
1310.637758155343,10191.344
1310.6391470339872,10175.268
1310.6405359126315,10176.33
1310.641924791276,10187.702
1310.6433136699204,10180.81
1310.644702548099,10199.337
1310.6460914267434,10179.926
1310.6474803053877,10172.771
1310.648869184032,10216.398
1310.6502580622107,10204.666
1310.651646940855,10188.795
1310.6530358194993,10202.837
1310.654424697678,10211.944
1310.6558135763223,10215.83
1310.6572024549666,10212.209
1310.6585913331455,10196.729
1310.6599802117898,10204.639
1310.6613690899685,10180.622
1310.6627579686128,10195.856
1310.6641468467915,10200.288
1310.6655357254358,10181.155
1310.6669246036145,10214.234
1310.6683134822588,10215.621
1310.6697023604374,10212.845
1310.671091238616,10211.347
1310.6724801172604,10191.316
1310.6738689954393,10207.15
1310.6752578740836,10186.073
1310.6766467522623,10191.875
1310.678035630441,10181.897
1310.6794245086196,10146.67
1310.680813387264,10203.795
1310.6822022654426,10209.893
1310.6835911436212,10198.015
1310.6849800218,10201.336
1310.6863689004442,10208.392
1310.6877577786229,10193.467
1310.6891466568018,10196.955
1310.6905355349804,10219.712
1310.691924413159,10137.876
1310.6933132913377,10207.458
1310.6947021695164,10178.14
1310.696091047695,10199.066
1310.6974799258737,10196.451
1310.6988688040524,10192.124
1310.700257682231,10166.142
1310.7016465604097,10185.008
1310.7030354385884,10170.12
1310.7044243167672,10207.902
1310.705813194946,10187.171
1310.7072020731246,10180.22
1310.7085909513032,10177.158
1310.7099798294819,10171.658
1310.7113687076605,10185.646
1310.7127575853735,10195.331
1310.7141464635522,10167.93
1310.7155353417309,10181.928
1310.7169242199095,10175.486
1310.7183130980882,10158.165
1310.7197019758012,10258.87
1310.72109085398,10199.638
1310.7224797321587,10218.299
1310.7238686098717,10170.543
1310.7252574880504,10176.152
1310.726646366229,10163.992
1310.728035243942,10177.527
1310.7294241221207,10194.093
1310.7308130002993,10160.218
1310.7322018780123,10158.528
1310.733590756191,10171.428
1310.734979633904,10187.464
1310.736368512083,10173.799
1310.737757389796,10176.905
1310.7391462679745,10183.133
1310.7405351456875,10218.271
1310.7419240238662,10195.988
1310.7433129015792,10173.195
1310.7447017797579,10179.256
1310.7460906574709,10175.3125
1310.7474795351839,10202.547
1310.7488684133625,10197.446
1310.7502572910755,10196.889
1310.7516461687887,10216.448
1310.7530350469674,10189.614
1310.7544239246804,10172.932
1310.7558128023934,10185.8545
1310.757201680572,10165.684
1310.758590558285,10169.662
1310.759979435998,10199.674
1310.761368313711,10190.772
1310.7627571918897,10186.217
1310.7641460696027,10170.54
1310.7655349473157,10189.84
1310.766923825029,9883.163
1310.768312702742,10181.363
1310.769701580455,10171.828
1310.771090458168,10175.348
1310.7724793363466,10169.926
1310.7738682140596,10158.004
1310.7752570917726,10163.003
1310.7766459694856,10182.563
1310.7780348471986,10153.839
1310.7794237249116,10166.403
1310.7808126026246,10157.32
1310.7822014803376,10159.339
1310.7835903580508,10169.062
1310.7849792357638,10165.597
1310.7863681134768,10193.694
1310.7877569911898,10160.354
1310.7891458684371,10156.965
1310.7905347461501,10183.508
1310.791923623863,10172.984
1310.793312501576,10151.495
1310.794701379289,10194.498
1310.796090257002,10216.627
1310.797479134715,10191.657
