time,flux
1310.552302330738,0.0
1310.5536911888933,22535.74
1310.555080047165,22544.15
1310.5564689054365,22523.584
1310.5578577635918,22518.646
1310.5592466218634,22529.95
1310.5606354801353,22500.729
1310.562024338407,22492.34
1310.5634131965621,22539.934
1310.5648020548338,22543.033
1310.5661909131054,22526.258
1310.567579771377,22501.705
1310.5689686296487,22532.959
1310.5703574879203,22555.92
1310.571746346192,22572.72
1310.5731352044636,22579.133
1310.5745240627352,22510.35
1310.575912921007,22541.166
1310.5773017792787,22560.375
1310.5786906376668,22556.393
1310.5800794959384,22582.264
1310.58146835421,22585.836
1310.5828572124817,22556.56
1310.5842460708698,22557.06
1310.5856349291414,22588.516
1310.5870237875295,22584.477
1310.588412645801,22591.525
1310.5898015040727,22572.998
1310.5911903624608,22604.346
1310.592579220849,22595.92
1310.5939680791207,22589.125
1310.5953569375088,22581.594
1310.5967457957804,22563.268
1310.5981346541685,22608.037
1310.5995235125565,22623.418
1310.6009123709446,22633.707
1310.6023012292162,22602.281
1310.6036900876043,22590.848
1310.6050789459923,22588.238
1310.6064678043804,22638.396
1310.6078566627687,22624.795
1310.6092455211567,22639.123
1310.6106343795448,22608.62
1310.6120232379328,22608.299
1310.6134120963209,22666.52
1310.614800954709,22666.69
1310.6161898132134,22635.436
1310.6175786716014,22656.408
1310.6189675299895,22661.941
1310.6203563883776,22649.354
1310.621745246882,22664.031
1310.6231341052703,22658.805
1310.6245229637748,22633.527
1310.6259118221628,22662.855
1310.6273006806673,22633.61
1310.6286895390554,22658.887
1310.6300783975598,22605.334
1310.6314672559479,22575.219
1310.6328561144524,22583.357
1310.6342449729568,22541.092
1310.6356338314613,22540.002
1310.6370226898493,22528.041
1310.638411548354,22528.11
1310.6398004068585,22509.398
1310.641189265363,22522.875
1310.6425781238675,22521.635
1310.643966982372,22539.188
1310.6453558408764,22503.244
1310.6467446993809,22531.338
1310.6481335578853,22515.787
1310.6495224165062,22544.027
1310.6509112750107,22546.111
1310.6523001335152,22521.674
1310.6536889920196,22529.438
1310.6550778506407,22530.11
1310.6564667091452,22517.55
1310.657855567766,22525.607
1310.6592444262706,22516.898
1310.6606332848914,22520.248
1310.662022143396,22531.172
1310.6634110020168,22545.955
1310.6647998605213,22539.734
1310.6661887191422,22544.438
1310.667577577763,22537.275
1310.668966436384,22590.63
1310.6703552948886,22560.516
1310.6717441535095,22610.83
1310.6731330121304,22577.387
1310.6745218707513,22587.973
1310.6759107293722,22558.78
1310.677299587993,22572.3
1310.678688446614,22592.252
1310.6800773053512,22604.654
1310.6814661639721,22628.441
1310.682855022593,22616.746
1310.684243881214,22613.469
1310.6856327399514,22614.166
1310.6870215985723,22593.021
1310.6884104573096,22595.727
1310.6897993159305,22613.803
1310.6911881746678,22645.24
1310.6925770332887,22652.346
1310.693965892026,22605.238
1310.6953547506469,22620.25
1310.6967436093842,22596.227
1310.6981324681215,22629.018
1310.6995213268588,22603.025
1310.7009101855963,22587.045
1310.7022990442172,22581.797
1310.7036879029545,22558.469
1310.7050767616918,22601.092
1310.706465620429,22527.904
1310.7078544792828,22536.479
1310.70924333802,22519.854
1310.7106321967574,22525.508
1310.7120210554947,22512.582
1310.713409914232,22542.555
1310.7147987730857,22530.94
1310.716187631823,22498.875
1310.717576490677,22524.676
1310.7189653494142,22549.129
1310.720354208268,22561.703
1310.7217430670053,22534.447
1310.723131925859,22564.324
1310.7245207845963,22513.047
1310.72590964345,22541.695
1310.7272985023037,22549.613
1310.7286873611574,22576.994
1310.7300762200111,22576.783
1310.7314650788649,22549.943
1310.7328539377188,22538.947
1310.7342427965725,22547.54
1310.7356316554262,22534.814
1310.73702051428,22566.746
1310.7384093731337,22552.018
1310.7397982319874,22537.365
1310.741187090841,22558.336
1310.7425759498112,22572.82
1310.743964808665,22553.527
1310.745353667635,22593.021
1310.7467425264888,22539.492
1310.7481313854591,22546.709
1310.7495202443129,22575.273
1310.750909103283,22558.299
1310.7522979621367,22562.396
1310.7536868211068,22529.775
1310.755075680077,22546.11
1310.756464539047,22540.96
1310.7578533980172,22579.426
1310.7592422569874,22574.92
1310.7606311159575,22551.023
1310.7620199749276,22575.5
1310.763408833898,22594.475
1310.7647976928681,22554.547
1310.7661865518382,22554.072
1310.7675754108084,22562.389
1310.768964269895,22551.477
1310.770353128865,22623.578
1310.7717419878352,22528.443
1310.7731308469217,22577.314
1310.7745197058919,22568.545
1310.7759085649784,22577.87
1310.777297424065,22589.182
1310.778686283035,22549.812
1310.7800751421219,22564.943
1310.7814640012084,22540.467
1310.7828528601785,22572.068
1310.784241719265,22557.164
1310.7856305783516,22543.082
1310.7870194374382,22560.74
1310.7884082965247,22582.408
1310.7897971556113,22644.705
1310.7911860146978,22568.287
1310.7925748739008,22527.121
1310.7939637329873,22541.207
1310.795352592074,22570.518
1310.796741451277,22580.28
1310.7981303103636,22535.814
1310.7995191694502,22553.918
1310.800908028653,22589.326
1310.8022968877397,22584.436
1310.8036857469426,22560.836
1310.8050746061456,22543.586
1310.8064634652321,22575.736
1310.807852324435,22594.938
1310.809241183638,22674.807
1310.8106300428412,22617.096
1310.8120189020442,22610.887
1310.8134077612472,22609.123
1310.8147966204501,22670.797
1310.816185479653,22657.44
1310.817574338856,22615.09
1310.818963198059,22639.887
1310.8203520573784,22589.846
1310.8217409165813,22588.945
1310.8231297757843,22610.725
1310.8245186351037,22623.357
1310.8259074943069,22578.79
1310.8272963536263,22573.92
1310.8286852128292,22570.264
1310.8300740721486,22567.158
1310.831462931468,22583.713
1310.832851790671,22548.902
1310.8342406499903,22582.992
1310.8356295093097,22636.848
1310.837018368629,22569.828
1310.8384072279484,22579.568
1310.8397960872678,22594.328
1310.8411849465872,22576.732
1310.8425738059068,22615.414
1310.8439626652262,22625.85
1310.845351524662,22609.285
1310.8467403839813,22571.033
1310.8481292433007,22592.096
1310.8495181027365,22614.049
1310.850906962056,22585.604
1310.8522958213753,22553.697
1310.853684680811,22581.73
1310.8550735402468,22573.17
1310.8564623995662,22560.268
1310.8578512590022,22508.06
1310.859240118438,22504.537
1310.8606289778738,22501.768
1310.8620178373096,22518.273
1310.8634066967454,22478.652
1310.8647955561812,22496.934
1310.866184415617,22499.738
1310.8675732750528,22493.912
1310.8689621344886,22490.389
1310.8703509939244,22510.348
1310.8717398533602,22540.143
1310.8731287129126,22520.3
1310.8745175723484,22530.234
1310.8759064319006,22495.824
