time,flux
1310.5499907624107,0.0
1310.5513796354671,26729.969
1310.5527685085235,26740.035
1310.55415738158,26811.482
1310.5555462546363,26764.965
1310.5569351276927,26787.555
1310.5583240007493,26759.297
1310.5597128738639,26804.059
1310.5611017469785,26792.512
1310.562490620093,26747.643
1310.5638794932077,26760.928
1310.5652683663805,26756.691
1310.566657239495,26758.326
1310.5680461126678,26753.49
1310.5694349858406,26768.918
1310.5708238590134,26773.916
1310.5722127321862,26833.936
1310.5736016054175,26765.803
1310.5749904786485,26786.73
1310.5763793518795,26714.902
1310.5777682251105,26769.033
1310.5791570983415,26766.746
1310.5805459715725,26769.89
1310.5819348448617,26745.994
1310.583323718151,26891.268
1310.5847125914402,26752.523
1310.5861014647294,26767.678
1310.5874903380768,26735.834
1310.588879211366,26782.629
1310.5902680847137,26774.467
1310.591656958061,26760.766
1310.5930458314085,26754.809
1310.5944347048141,26814.254
1310.5958235781616,26732.094
1310.5972124515672,26766.818
1310.5986013249728,26740.623
1310.5999901983785,26773.848
1310.601379071784,26787.52
1310.602767945248,26750.24
1310.6041568187118,26752.77
1310.6055456921758,26795.154
1310.6069345656397,26763.918
1310.6083234391035,26762.457
1310.6097123126256,26732.7
1310.6111011860894,26779.182
1310.6124900596114,26757.02
1310.6138789331335,26740.756
1310.6152678066555,26719.135
1310.6166566802358,26709.73
1310.618045553816,26713.043
1310.619434427338,26749.363
1310.6208233009186,26777.61
1310.622212174557,26764.744
1310.6236010481373,26740.088
1310.6249899217758,26745.342
1310.6263787954142,26775.977
1310.6277676690527,26730.18
1310.6291565426911,26741.078
1310.6305454163296,26765.846
1310.6319342900263,26714.154
1310.6333231636647,26756.607
1310.6347120373614,26734.059
1310.6361009111165,26736.94
1310.6374897848132,26756.355
1310.6388786585098,26759.156
1310.6402675322647,26771.875
1310.6416564060196,26763.125
1310.6430452797745,26762.07
1310.6444341535876,26709.441
1310.6458230273424,26747.207
1310.6472119011555,26732.041
1310.6486007749686,26737.217
1310.6499896487817,26768.125
1310.6513785225948,26741.441
1310.6527673964663,26771.68
1310.6541562702794,26735.793
1310.6555451441507,26740.229
1310.656934018022,26781.402
1310.6583228918932,26770.568
1310.6597117658227,26731.52
1310.6611006397522,26702.22
1310.6624895136235,26749.676
1310.663878387553,26761.451
1310.6652672615407,26732.797
1310.6666561354702,26755.922
1310.6680450094582,26735.787
1310.669433883446,26755.281
1310.6708227574336,26743.992
1310.6722116314213,26768.402
1310.673600505409,26823.428
1310.674989379455,26778.822
1310.6763782534426,26756.914
1310.6777671274886,26750.54
1310.6791560015927,26711.951
1310.6805448756386,26732.77
1310.6819337496845,26730.576
1310.6833226237889,26770.076
1310.684711497893,26745.586
1310.686100371997,26749.562
1310.6874892461594,26758.115
1310.6888781202636,26762.186
1310.6902669944259,26739.621
1310.6916558685882,26739.832
1310.6930447427505,26763.562
1310.6944336169129,26750.254
1310.6958224911334,26754.002
1310.6972113652957,26746.947
1310.6986002395165,26773.188
1310.699989113737,26743.115
1310.7013779880158,26776.719
1310.7027668622363,26768.725
1310.704155736515,26751.043
1310.7055446107356,26752.926
1310.7069334850726,26740.188
1310.7083223593513,26748.896
1310.70971123363,26716.52
1310.711100107967,26756.33
1310.712488982304,26712.252
1310.713877856641,26737.8
1310.715266730978,26774.23
1310.716655605315,26768.717
1310.7180444797102,26753.637
1310.7194333541054,26748.021
1310.7208222284423,26731.396
1310.7222111028957,26713.236
1310.7235999772909,26699.857
1310.7249888517442,26693.82
1310.7263777261394,26723.29
1310.7277666005928,26723.385
1310.7291554750461,26677.361
1310.730544349558,26685.752
1310.7319332240113,26656.26
1310.7333220985229,26667.865
1310.7347109730345,26608.412
1310.736099847546,26684.568
1310.7374887220576,26707.76
1310.7388775965692,26639.895
1310.740266471139,26643.861
1310.7416553457088,26629.547
1310.7430442202785,26580.852
1310.7444330948483,26581.07
1310.7458219694765,26643.543
1310.7472108440463,26612.002
1310.7485997186743,26609.615
1310.7499885933023,26561.062
1310.7513774679303,26571.883
1310.7527663426165,26620.895
1310.7541552172445,26615.604
1310.7555440919307,26593.432
1310.756932966617,26562.877
1310.758321841303,26567.807
1310.7597107159893,26536.58
1310.761099590734,26090.695
1310.7624884654201,26590.691
1310.7638773401645,26513.088
1310.765266214909,26597.08
1310.7666550897115,26580.96
1310.768043964456,26573.402
1310.7694328392586,26666.16
1310.7708217140612,26567.719
1310.7722105888638,26634.219
1310.7735994636664,26531.53
1310.774988338469,26555.523
1310.7763772133299,26579.229
1310.777766088191,26570.227
1310.7791549630517,26570.17
1310.7805438379125,26616.713
1310.7819327127734,26571.008
1310.7833215876924,26605.56
1310.7847104625532,26583.107
1310.7860993374723,26615.307
1310.7874882123913,26604.227
1310.7888770873685,26590.22
1310.7902659622875,26621.96
1310.7916548372648,26613.02
1310.7930437122423,26608.838
1310.7944325872195,26648.268
1310.7958214621967,26610.86
1310.797210337174,26645.37
1310.7985992122094,26641.771
1310.7999880872449,26641.018
1310.801376962222,26663.992
1310.8027658373157,26678.87
1310.8041547123512,26666.902
1310.8055435873866,26736.621
1310.8069324624803,26652.877
1310.8083213375742,26689.057
1310.8097102126678,26715.17
1310.8110990877615,26734.576
1310.8124879629133,26697.86
1310.813876838007,26702.902
1310.8152657131589,26709.734
1310.8166545883107,26716.69
1310.8180434634626,26708.377
1310.8194323386726,26709.4
1310.8208212138245,26742.709
1310.8222100890346,26733.605
1310.8235989642449,26777.158
1310.824987839455,26710.287
1310.826376714665,26746.678
1310.8277655899333,26771.164
1310.8291544651433,26724.13
1310.8305433404116,26733.64
1310.83193221568,26791.393
1310.8333210909482,26751.557
1310.8347099662747,26746.332
1310.836098841543,26731.527
1310.8374877168694,26733.162
1310.838876592196,26750.822
1310.8402654675226,26729.686
1310.841654342849,26729.17
1310.8430432182338,26755.0
1310.8444320936185,26750.037
1310.845820968945,26739.514
1310.8472098443297,26754.254
1310.8485987197726,26711.213
1310.8499875951572,26748.416
1310.851376470542,26748.705
1310.8527653459848,26735.83
1310.8541542214277,26705.139
1310.8555430968709,26748.488
1310.8569319723138,26742.738
1310.8583208478149,26761.973
1310.859709723316,26763.697
1310.8610985987589,26702.322
1310.86248747426,26765.936
1310.863876349761,26795.652
1310.8652652253204,26777.766
1310.8666541008215,26747.055
1310.8680429763808,26757.857
1310.8694318519401,26759.564
1310.8708207274997,26737.748
1310.872209603059,26734.59
1310.8735984786765,26749.38
1310.8749873542358,26750.373
1310.8763762298533,26679.814
1310.8777651054709,26738.285
1310.8791539810884,26751.164
1310.880542856706,26763.389
1310.8819317323816,26812.69
1310.8833206079992,26746.113
1310.884709483675,26753.951
1310.8860983593509,26737.89
1310.8874872350266,26761.65
1310.8888761107605,26683.404
1310.8902649864363,26700.207
1310.8916538621702,26766.648
1310.8930427379041,26751.135
1310.894431613638,26789.69
1310.895820489372,26760.299
1310.897209365106,26797.979
1310.898598240898,26781.387
1310.899987116632,26767.113
1310.9013759924242,26801.156
1310.9027648682165,26717.12
1310.904153744067,26740.37
1310.905542619859,26744.945
1310.9069314957094,26741.281
1310.9083203715015,26713.809
1310.9097092473519,26741.783
1310.9110981232022,26748.79
1310.9124869991108,26752.934
1310.9138758749611,26726.748
1310.9152647508697,26558.73
1310.91665362672,26809.764
1310.9180425026289,26711.338
1310.9194313785956,26765.271
1310.9208202545042,26735.047
1310.9222091304127,26767.584
1310.9235980063795,26743.064
1310.9249868823463,26720.383
1310.926375758313,26729.965
1310.9277646342798,26740.803
1310.9291535102466,26731.42
1310.9305423862716,26797.582
1310.9319312622383,26764.855
1310.9333201382635,26751.973
1310.9347090142885,26737.28
1310.9360978903135,26741.324
1310.9374867663385,26725.424
1310.9388756424216,26754.03
1310.9402645185048,26752.93
1310.9416533945298,26797.656
1310.943042270613,26756.232
1310.9444311466962,26752.102
1310.9458200228376,26758.78
1310.9472088989207,26734.39
1310.9485977750624,26750.283
1310.9499866512037,26776.205
1310.9513755273451,26764.88
1310.9527644034865,26768.258
1310.954153279628,26704.17
1310.9555421557693,26764.744
1310.956931031969,26795.559
1310.9583199081685,26712.055
1310.959708784368,26763.553
1310.9610976605677,26763.42
1310.9624865367673,26780.498
1310.963875413025,26749.38
1310.965264289225,26713.303
1310.9666531654827,26738.76
1310.9680420417405,26792.996
1310.9694309179984,26724.89
1310.9708197942562,26730.291
1310.9722086705722,26719.535
1310.97359754683,26753.08
1310.974986423146,26775.01
1310.976375299462,26731.527
1310.977764175778,26759.89
1310.979153052094,26738.227
1310.9805419284103,26752.79
1310.9819308047845,26762.346
1310.9833196811587,26749.4
1310.984708557533,26823.219
1310.9860974339072,26764.238
1310.9874863102814,26784.203
1310.9888751866556,26756.357
1310.990264063088,26802.959
1310.9916529394623,26535.924
1310.9930418158947,26686.98
1310.9944306923271,26755.225
1310.9958195687598,26772.51
1310.9972084451922,26763.11
1310.9985973216828,26766.55
1310.9999861981153,26730.994
1311.001375074606,26763.963
1311.0027639510965,26787.773
1311.0041528275872,26753.936
1311.0055417040778,26749.957
1311.0069305806267,26723.67
1311.0083194571173,26753.05
1311.0097083336661,26811.105
1311.0110972102152,26771.441
1311.012486086764,26739.844
1311.013874963313,26743.146
1311.0152638398617,26721.402
1311.0166527164106,26770.18
1311.0180415930176,26762.777
1311.0194304696247,26754.074
1311.0208193462317,26771.133
1311.0222082228388,26722.857
1311.0235970994459,26761.25
1311.024985976053,26822.742
1311.0263748527182,26736.377
1311.0277637293254,26757.475
1311.0291526059907,26764.139
1311.030541482656,26846.805
1311.0319303593212,26728.746
1311.0333192360447,26815.02
1311.03470811271,26775.895
1311.0360969894334,26769.135
1311.0374858660987,26731.822
1311.0388747428221,26757.256
1311.0402636195456,26755.615
1311.041652496269,26743.781
1311.043041373051,26766.422
1311.0444302497745,26768.617
1311.0458191265561,26746.148
1311.0472080032796,26754.975
1311.0485968800613,26740.441
1311.049985756843,26768.805
1311.0513746336828,26741.98
1311.0527635104645,26760.318
1311.0541523872462,26763.787
1311.055541264086,26769.947
1311.056930140926,26745.654
1311.058319017766,26776.713
1311.059707894606,26806.123
1311.0610967714458,26747.031
1311.0624856482857,26775.057
1311.0638745251838,26762.455
1311.0652634020819,26741.195
1311.0666522789218,26725.848
1311.0680411558199,26763.95
1311.069430032718,26747.947
1311.0708189096742,26735.14
1311.0722077865723,26709.88
1311.0735966635289,26786.516
1311.074985540427,26713.143
1311.0763744173832,26726.176
1311.0777632943395,26739.293
1311.0791521712958,26762.46
1311.0805410482521,26751.62
1311.0819299252666,26774.58
1311.083318802223,26715.74
1311.0847076792375,26733.836
1311.086096556252,26782.346
1311.0874854332665,26757.611
1311.088874310281,26758.104
1311.0902631872957,26778.256
1311.0916520643102,26756.422
1311.093040941383,26774.734
1311.0944298183974,26721.04
1311.0958186954701,26756.611
1311.0972075725429,26711.195
1311.0985964496156,26732.78
1311.0999853266883,26739.9
1311.1013742038192,26764.9
1311.102763080892,26772.809
1311.1041519580228,26739.115
1311.105540835154,26737.717
1311.106929712285,26750.219
1311.1083185894158,26734.26
1311.1097074665468,26743.312
1311.1110963436777,26766.36
1311.1124852208668,26734.314
1311.1138740979977,26737.566
1311.1152629751869,26775.771
1311.116651852376,26752.81
1311.118040729565,26760.61
1311.1194296067542,26758.502
1311.1208184839436,26634.873
1311.1222073611327,26810.441
1311.12359623838,26779.564
1311.1249851156274,26744.232
1311.1263739928165,26747.764
1311.1277628700639,26785.922
1311.1291517473112,26783.652
1311.1305406246167,26760.469
1311.131929501864,26797.453
1311.1333183791114,26772.818
1311.134707256417,26660.36
1311.1360961337227,26781.32
1311.1374850110283,26781.543
1311.1388738883338,26769.111
1311.1402627656394,26740.404
1311.141651642945,26744.51
1311.1430405202505,26762.43
1311.1444293976142,26757.043
1311.145818274978,26768.15
1311.1472071522835,26692.71
1311.1485960296473,26753.082
1311.149984907011,26797.385
1311.1513737843748,26756.078
1311.152762661797,26724.496
1311.1541515391607,26749.65
1311.1555404165827,26731.553
1311.1569292939464,26734.617
1311.1583181713684,26742.797
1311.1597070487903,26714.613
1311.1610959262123,26723.176
1311.1624848036925,26754.246
1311.1638736811144,26734.746
1311.1652625585364,26717.2
1311.1666514360165,26740.133
1311.168040313497,26721.305
1311.169429190919,26716.271
1311.170818068399,26701.523
1311.1722069459374,26757.695
1311.1735958234176,26709.06
1311.1749847008978,26717.076
1311.1763735784361,26730.354
1311.1777624559163,26714.938
1311.1791513334547,26660.488
1311.180540210993,26710.365
1311.1819290885314,26686.506
1311.18331796607,26667.453
1311.1847068436084,26655.633
1311.1860957211468,26654.984
1311.1874845987434,26662.846
1311.1888734762817,26656.871
1311.1902623538783,26671.229
1311.191651231475,26652.182
1311.1930401090715,26642.842
1311.194428986668,26555.945
1311.1958178642647,26651.93
1311.1972067419194,26625.418
1311.1985956195163,26577.209
1311.199984497171,26629.318
1311.2013733747676,26575.549
1311.2027622524224,26583.46
1311.2041511300772,26612.752
1311.205540007732,26609.014
1311.2069288853868,26585.523
1311.2083177630998,26580.494
1311.2097066407546,26597.38
1311.2110955184676,26589.766
1311.2124843961224,26639.914
1311.2138732738354,26636.393
1311.2152621515486,26605.725
1311.2166510292616,26580.926
1311.2180399069746,26570.305
1311.2194287846876,26584.324
1311.2208176624588,26578.822
1311.2222065401718,26600.213
1311.223595417943,26716.742
1311.2249842957142,26601.912
1311.2263731734854,26615.982
1311.2277620511984,26599.104
1311.2291509290278,26606.832
1311.2305398067992,26618.156
1311.2319286845704,26619.795
1311.2333175623999,26706.098
1311.234706440171,26657.143
1311.2360953180005,26622.494
1311.23748419583,26636.52
1311.238873073601,26643.13
1311.2402619514305,26644.574
1311.2416508293181,26642.512
1311.2430397071475,26664.203
1311.244428584977,26680.354
1311.2458174628648,26660.027
1311.2472063406942,26672.47
1311.2485952185818,26693.777
1311.2499840964695,26655.088
1311.251372974357,26673.73
1311.2527618522447,26725.113
1311.2541507301323,26704.014
1311.25553960802,26695.385
1311.2569284859076,26699.496
1311.2583173638534,26793.338
1311.2597062417992,26712.988
1311.261095119687,26753.977
1311.262483997633,26759.266
1311.2638728755787,26711.666
1311.2652617535246,26733.643
1311.2666506314704,26760.22
1311.2680395094744,26714.623
1311.2694283874202,26784.357
1311.270817265366,26778.879
1311.27220614337,26724.121
1311.2735950213741,26757.164
1311.2749838993782,26733.068
1311.276372777324,26769.38
1311.2777616553865,26758.875
1311.2791505333905,26752.918
1311.2805394113946,26760.459
1311.2819282893986,26768.734
1311.2833171674608,26777.547
1311.2847060454649,26738.518
1311.2860949235271,26723.18
1311.2874838015894,26761.498
1311.2888726796516,26826.488
1311.2902615577138,26763.078
1311.291650435776,26778.576
1311.2930393138386,26752.387
1311.2944281919008,26746.434
1311.2958170700213,26775.412
1311.2972059480835,26734.203
1311.298594826204,26756.818
1311.2999837043244,26724.02
1311.3013725824449,26722.72
1311.3027614605653,26743.648
1311.3041503386858,26767.684
1311.3055392168062,26737.58
1311.3069280949267,26747.516
1311.3083169731055,26754.9
1311.309705851226,26762.918
1311.3110947294047,26751.361
1311.3124836075833,26752.586
1311.3138724857038,26787.973
1311.3152613638824,26747.22
1311.316650242061,26776.28
1311.3180391202397,26709.127
1311.3194279984766,26745.66
1311.3208168766553,26728.59
1311.322205754834,26799.14
1311.323594633071,26777.945
1311.324983511308,26773.367
1311.3263723894866,26720.738
1311.3277612677234,26743.861
1311.3291501459603,26743.168
1311.3305390241972,26755.52
1311.331927902434,26766.934
1311.333316780729,26737.148
1311.334705658966,26746.74
1311.3360945372028,26757.588
1311.337483415498,26758.414
1311.338872293793,26737.63
1311.34026117203,26776.836
1311.3416500503251,26823.58
1311.3430389286202,26766.389
1311.3444278069153,26780.143
1311.3458166852104,26761.559
1311.3472055635636,26752.598
1311.3485944418587,26760.064
1311.3499833201538,26739.555
1311.351372198507,26770.69
1311.3527610768022,26778.951
1311.3541499551554,26745.59
1311.355538833509,26779.254
1311.3569277118622,26788.525
1311.3583165902155,26793.832
1311.3597054685688,26794.219
1311.361094346922,26743.66
1311.3624832253336,26778.793
1311.3638721036868,26763.596
1311.3652609820983,26779.217
1311.3666498604516,26737.01
1311.368038738863,26779.129
1311.3694276172746,26727.473
1311.3708164956863,26739.79
1311.3722053740978,26694.48
1311.3735942525093,26735.857
1311.3749831309208,26747.12
1311.3763720093323,26773.24
1311.377760887802,26735.26
1311.3791497662135,26757.066
1311.3805386446832,26773.61
1311.3819275230946,26751.438
1311.3833164015643,26778.488
1311.384705280034,26768.848
1311.386094158504,26735.193
1311.3874830369737,26746.594
1311.3888719154434,26777.906
1311.390260793913,26770.691
1311.391649672441,26777.63
1311.3930385509107,26763.06
1311.3944274294386,26785.703
1311.3958163079083,26808.936
1311.3972051864362,26725.986
1311.398594064964,26800.805
1311.399982943492,26771.266
1311.4013718219617,26765.732
1311.402760700548,26775.352
1311.404149579076,26755.379
1311.4055384576038,26780.92
1311.4069273361317,26767.764
1311.4083162147178,26769.924
1311.4097050932457,26746.514
1311.4110939718319,26737.191
1311.4124828503598,26768.594
1311.4138717289459,26760.371
1311.415260607532,26760.297
1311.416649486118,26750.963
1311.4180383647044,26719.338
1311.4194272432906,26760.19
1311.4208161218767,26731.322
1311.422205000521,26722.46
1311.423593879107,26764.973
1311.4249827577514,26729.766
1311.4263716363375,26730.49
1311.4277605149819,26716.932
1311.4291493936262,26759.637
1311.4305382722705,26742.846
1311.4319271509148,26729.791
1311.4333160295594,26754.947
1311.4347049082037,26757.89
1311.436093786848,26769.041
1311.4374826654923,26747.234
1311.4388715441949,26755.957
1311.4402604228392,26800.727
1311.4416493015417,26802.094
1311.443038180186,26752.537
1311.4444270588886,26758.906
1311.445815937591,26751.383
1311.4472048162936,26761.703
1311.4485936949964,26811.158
1311.449982573699,26729.42
1311.4513714524014,26762.463
1311.452760331104,26757.926
1311.4541492098065,26749.814
1311.4555380885672,26749.814
1311.4569269672697,26738.178
1311.4583158460305,26778.271
1311.459704724733,26791.523
1311.4610936034937,26757.855
1311.4624824822545,26719.213
1311.4638713610152,26731.816
1311.4652602397762,26753.062
1311.466649118537,26708.96
1311.4680379972976,26739.004
1311.4694268760584,26348.041
1311.4708157548773,26783.201
1311.472204633638,26771.695
1311.473593512457,26739.387
1311.4749823912177,26789.95
1311.4763712700367,26752.906
1311.4777601488556,26793.105
1311.4791490276164,26733.006
1311.4805379064355,26749.992
1311.4819267852545,26734.049
1311.4833156640734,26787.104
1311.4847045428924,26802.578
1311.4860934217695,26765.262
1311.4874823005885,26706.375
1311.4888711794074,26762.135
1311.4902600582845,26757.918
1311.4916489371035,26759.469
1311.4930378159806,26752.307
1311.4944266948578,26777.559
1311.495815573677,26763.611
1311.4972044525541,26727.102
1311.4985933314313,26718.145
1311.4999822103084,26726.488
1311.5013710891856,26758.799
1311.502759968121,26792.957
1311.504148846998,26762.89
1311.5055377258752,26761.72
1311.5069266048106,26732.22
1311.5083154836877,26726.822
1311.509704362623,26742.838
