time,flux
1310.5559654196684,0.0
1310.5573543248554,1945.646
1310.5587432295767,1945.9307
1310.560132134298,1949.2343
1310.5615210385538,1950.6359
1310.5629099432751,1954.2263
1310.5642988479967,1941.9263
1310.565687752718,1954.0398
1310.5670766574394,1948.5424
1310.5684655621608,1943.6128
1310.5698544668821,1941.0494
1310.5712433711378,1995.9641
1310.5726322758592,1951.3025
1310.5740211805805,1943.3511
1310.5754100853019,1944.7909
1310.5767989895576,1957.1267
1310.578187894279,1951.465
1310.5795767985348,1945.3824
1310.5809657032562,1965.6248
1310.582354607512,1964.3146
1310.5837435122332,1940.4684
1310.585132416489,1951.705
1310.5865213212103,1953.7977
1310.587910225466,1941.0605
1310.5892991301873,1956.4578
1310.590688034443,1943.3776
1310.5920769386987,1936.994
1310.59346584342,1943.5116
1310.5948547476758,2014.0524
1310.5962436519317,1953.1919
1310.597632556653,1953.3375
1310.5990214609087,1945.6035
1310.6004103651644,1952.9639
1310.60179926942,1961.4985
1310.6031881736758,1960.5831
1310.6045770779315,1957.925
1310.6059659821872,1945.7173
1310.6073548864429,1954.6823
1310.6087437906986,1954.413
1310.6101326949542,1945.94
1310.6115215992102,1949.1705
1310.6129105034659,1943.8811
1310.6142994077215,1948.6458
1310.6156883119772,1935.532
1310.617077216233,1963.7018
1310.6184661204886,1954.8118
1310.6198550242786,1939.294
1310.6212439285343,1945.1335
1310.62263283279,1948.4324
1310.6240217370457,1964.7916
1310.6254106408358,1937.6621
1310.6267995450917,1937.8582
1310.6281884493474,1951.006
1310.6295773531374,1941.522
1310.630966257393,1940.6398
1310.632355161183,1943.2233
1310.6337440654388,1946.7389
1310.6351329692288,1934.3845
1310.6365218734845,1982.9142
1310.6379107772746,1955.3853
1310.6392996815302,1942.7017
1310.6406885853203,1954.1631
1310.6420774895762,1949.0072
1310.6434663933662,1936.9604
1310.6448552971563,1955.4272
1310.646244201412,1953.2317
1310.647633105202,1958.3394
1310.649022008992,1956.8123
1310.650410912782,1951.0553
1310.651799816572,1945.253
1310.6531887208278,1941.2762
1310.6545776246178,1980.9442
1310.6559665284078,1930.7346
1310.6573554321978,1938.7112
1310.658744335988,1950.0847
1310.6601332397781,1952.6206
1310.6615221435682,1944.203
1310.6629110473582,1954.5698
1310.6642999511482,1934.6481
1310.6656888549383,1925.299
1310.6670777587283,1927.2755
1310.6684666625183,1950.6616
1310.6698555663083,1950.83
1310.6712444700984,1949.9562
1310.6726333734227,1953.5142
1310.674022277213,1982.3696
1310.675411181003,1944.524
1310.676800084793,1945.2458
1310.6781889881174,1960.3649
1310.6795778919075,1935.9669
1310.6809667956975,1949.7949
1310.6823556990219,1948.0317
1310.6837446028119,1946.6221
1310.685133506602,1961.38
1310.6865224099263,1953.8574
1310.6879113137163,1958.7418
1310.689300217041,1950.5887
1310.690689120831,2020.3975
1310.6920780241553,1943.808
1310.6934669279453,1949.1184
1310.6948558312697,1965.0344
1310.696244734594,1948.7196
1310.697633638384,1950.1594
1310.6990225417085,1951.6537
1310.7004114454985,1953.1722
1310.7018003488229,1953.7861
1310.7031892521472,1946.3976
1310.7045781554718,1933.3773
1310.7059670592619,1944.3387
1310.7073559625862,1985.1139
1310.7087448659106,1946.7635
1310.710133769235,1955.2245
1310.7115226725593,1946.7874
1310.7129115758837,1960.6533
1310.7143004796737,1950.9987
1310.715689382998,1943.7812
1310.7170782863225,1939.0059
1310.7184671896468,1931.4497
1310.7198560929712,1954.9965
1310.7212449962958,1953.5978
1310.7226338996202,1949.5991
1310.7240228029445,1957.8755
1310.725411706269,1939.8607
1310.7268006091276,1945.6771
1310.728189512452,1937.9476
1310.7295784157764,1937.2233
1310.7309673191007,1968.4615
1310.732356222425,1956.2822
1310.7337451257495,1940.5825
1310.7351340286082,1951.9354
1310.7365229319328,1954.2782
1310.7379118352571,1945.7377
1310.7393007381158,1986.1963
1310.7406896414402,1938.5442
1310.7420785447646,1975.7562
1310.7434674476233,1944.4229
1310.7448563509477,1949.3387
1310.746245254272,1939.0914
1310.7476341571307,1939.0182
