time,flux
1310.5564628614552,0.0
1310.5578517563977,1220.9584
1310.5592406513401,1225.3771
1310.560629545817,1262.4246
1310.5620184407594,1237.0968
1310.5634073352362,1255.695
1310.564796230179,1214.2784
1310.5661851246557,1205.2195
1310.5675740191325,1206.0133
1310.568962914075,1232.1595
1310.5703518085518,1226.2991
1310.5717407030286,1210.9474
1310.573129597971,1281.7916
1310.5745184924479,1209.6421
1310.5759073869247,1207.4785
1310.5772962814015,1208.8865
1310.5786851758783,1208.7523
1310.5800740703553,1207.4534
1310.581462964832,1256.99
1310.582851859309,1216.7369
1310.5842407537857,1226.8846
1310.5856296482625,1254.0355
1310.5870185427393,1200.8436
1310.5884074372161,1229.0299
1310.589796331693,1192.9489
1310.591185225704,1222.5652
1310.5925741201809,1230.2812
1310.5939630146577,1205.0901
1310.5953519091345,1216.5619
1310.5967408031458,1249.9622
1310.5981296976227,1225.1227
1310.5995185916338,1213.1304
1310.6009074861106,1227.2273
1310.6022963801217,1215.7104
1310.6036852745985,1240.6216
1310.6050741686097,1218.8279
1310.6064630630865,1215.1566
1310.6078519570976,1220.2653
1310.6092408511088,1205.99
1310.6106297455856,1208.4484
1310.612018639597,1210.5582
1310.613407533608,1211.1886
1310.6147964276192,1210.9376
1310.616185322096,1251.586
1310.6175742161072,1220.5476
1310.6189631101183,1225.7534
1310.6203520041295,1238.4613
1310.6217408981406,1222.8685
1310.6231297921518,1221.1123
1310.624518686163,1210.7916
1310.625907580174,1217.5948
1310.6272964741854,1229.3303
1310.628685367731,1226.6969
1310.630074261742,1223.7571
1310.6314631557532,1216.6155
1310.6328520497643,1268.1909
1310.6342409433098,1223.78
1310.635629837321,1217.0979
1310.637018731332,1223.3174
1310.6384076248776,1227.7585
1310.6397965188887,1231.8441
1310.6411854124342,1217.6956
1310.6425743064456,1228.9257
1310.643963199991,1242.7755
1310.6453520940022,1226.4417
1310.6467409875477,1225.5328
1310.6481298815588,1226.8315
1310.6495187751043,1221.7585
1310.6509076686498,1221.2548
1310.652296562661,1231.8574
1310.6536854562064,1227.4377
1310.6550743497519,1228.432
1310.6564632432974,1223.9565
1310.6578521368428,1212.6509
1310.6592410308542,1210.6376
1310.6606299243997,1220.3121
1310.6620188179452,1213.852
1310.6634077114907,1232.3252
1310.6647966050361,1202.1938
1310.6661854985816,1240.2969
1310.667574392127,1229.9656
1310.6689632856726,1216.1508
1310.6703521787524,1204.5514
1310.671741072298,1215.0452
1310.6731299658434,1235.2673
1310.674518859389,1232.3889
1310.6759077529346,1222.0757
1310.6772966460144,1225.5854
1310.6786855395599,1230.8899
1310.6800744331053,1202.3765
1310.6814633261852,1211.739
1310.6828522197306,1228.3171
1310.6842411128105,1224.6991
1310.685630006356,1226.9445
1310.6870188994358,1229.488
1310.6884077929813,1231.5771
1310.6897966860613,1231.3965
1310.6911855796068,1232.397
1310.6925744726866,1264.0231
1310.6939633657664,1224.5109
1310.695352259312,1233.9467
1310.6967411523917,1214.9869
1310.6981300454715,1245.8727
1310.6995189385514,1217.6138
1310.7009078316312,1212.1813
1310.7022967251767,1212.2009
1310.7036856182565,1212.056
1310.7050745113365,1244.9211
1310.7064634044164,1220.3259
1310.7078522974962,1222.3809
1310.709241190576,1223.7328
1310.7106300836558,1229.1317
1310.7120189767356,1231.6287
1310.7134078698155,1221.7206
