time,flux
1310.5501326843878,0.0
1310.5515215401565,58048.035
1310.5529103959252,58039.94
1310.554299251694,57605.605
1310.5556881075208,57940.8
1310.5570769632895,57783.844
1310.5584658191167,57801.41
1310.5598546749436,58060.97
1310.5612435307705,57909.305
1310.5626323866557,57932.973
1310.5640212424826,58005.582
1310.5654100983677,58103.44
1310.5667989542528,57973.64
1310.568187810138,57990.51
1310.569576666023,57966.555
1310.5709655219664,58253.61
1310.5723543779097,58014.652
1310.5737432338533,58013.285
1310.5751320897966,58321.773
1310.57652094574,58130.492
1310.5779098016833,58050.72
1310.5792986576848,57897.938
1310.5806875136864,58501.152
1310.582076369688,58179.984
1310.5834652256895,58433.92
1310.584854081691,58464.656
1310.5862429377507,58405.023
1310.5876317938105,58540.96
1310.5890206498702,58280.47
1310.5904095059302,58462.613
1310.59179836199,58466.617
1310.593187218108,58508.67
1310.5945760741677,58424.98
1310.5959649302856,58533.727
1310.5973537864036,58560.402
1310.5987426425797,58585.5
1310.6001314986977,58426.266
1310.6015203548739,58426.094
1310.60290921105,58601.395
1310.6042980672262,58664.22
1310.6056869234026,58544.562
1310.6070757795787,58629.695
1310.608464635813,58797.58
1310.6098534920475,58656.54
1310.6112423482818,58455.58
1310.6126312045162,58743.145
1310.6140200608088,58583.977
1310.6154089170432,58781.344
1310.6167977733357,58775.26
1310.6181866296283,58477.76
1310.619575485921,58528.57
1310.620964342272,58542.594
1310.6223531985645,58577.18
1310.6237420549153,58540.61
1310.625130911266,58138.152
1310.6265197676169,58246.777
1310.6279086239676,58294.91
1310.6292974803766,58348.215
1310.6306863367856,58084.33
1310.6320751931946,57991.867
1310.6334640496036,58068.965
1310.6348529060126,58020.27
1310.63624176248,58083.492
1310.637630618889,57612.367
1310.6390194753562,57911.953
1310.6404083318234,57882.117
1310.6417971883488,58064.234
1310.643186044816,57995.348
1310.6445749013415,58014.49
1310.6459637578669,57976.16
1310.6473526143923,58037.78
1310.6487414709177,57902.492
1310.6501303275013,58115.45
1310.6515191840267,57974.926
1310.6529080406106,58103.32
1310.6542968971942,58142.137
1310.655685753836,57963.46
1310.6570746104196,58017.668
1310.6584634670614,58193.7
1310.6598523237033,58012.344
1310.661241180345,58117.484
1310.662630036987,57923.305
1310.6640188936287,58224.652
1310.6654077503288,58172.6
1310.6667966070288,58105.812
1310.668185463729,58120.78
1310.669574320429,58158.695
1310.6709631771873,58076.152
1310.6723520338874,58125.64
1310.6737408906456,57455.59
1310.6751297474038,57912.105
1310.6765186042203,57966.438
1310.6779074609785,57946.617
1310.679296317795,57810.566
1310.6806851745532,57976.133
1310.6820740313697,57728.684
1310.6834628882445,57800.4
1310.684851745061,57850.363
1310.6862406019357,57530.043
1310.6876294588103,57755.58
1310.689018315685,57996.22
1310.6904071725596,58077.7
1310.6917960294343,57987.45
1310.6931848863671,58026.688
1310.6945737433,58171.234
1310.6959626002329,58260.707
1310.6973514571657,58196.574
1310.6987403140988,58002.94
1310.7001291710899,58253.02
1310.701518028081,58173.19
1310.702906885072,58407.297
1310.704295742063,58364.656
1310.7056845990542,58403.867
1310.7070734561034,58462.492
1310.7084623131527,58423.965
1310.709851170202,58000.266
1310.7112400272513,58305.652
1310.7126288843588,58527.062
1310.714017741408,58418.625
1310.7154065985158,58402.977
1310.7167954556232,58351.89
1310.7181843127307,58229.816
1310.7195731698964,58285.832
1310.720962027004,58281.586
1310.7223508841696,58273.16
1310.7237397413353,58354.66
1310.725128598501,58289.277
1310.726517455725,58301.855
1310.7279063128906,58292.13
1310.7292951701145,58054.55
1310.7306840273386,58274.234
1310.7320728845625,58375.746
1310.7334617417864,58131.45
1310.7348505990685,58199.395
1310.7362394563506,58297.797
1310.7376283136327,58293.242
1310.7390171709148,58361.22
