Metric,Baseline,Optimized,Improvement,Improvement %
ACCURACY,0.616793893129771,0.6595419847328244,0.042748091603053484,6.9306930693069395
PRECISION,0.36239782016348776,0.12371134020618557,-0.2386864799573022,-65.86311138671421
RECALL,0.8866666666666667,0.08,-0.8066666666666668,-90.97744360902256
F1,0.5145067698259188,0.09716599190283401,-0.41734077792308477,-81.11473014520105
AUC,0.804990099009901,0.4501320132013201,-0.3548580858085809,-44.08229197415462
